action_id,description
0,"High card, 9"
1,"High card, 10"
2,"High card, J"
3,"High card, Q"
4,"High card, K"
5,"High card, A"
6,Pair of 9s
7,Pair of 10s
8,Pair of Js
9,Pair of Qs
10,Pair of Ks
11,Pair of As
12,"Two pair, 10s and 9s"
13,"Two pair, Js and 9s"
14,"Two pair, Js and 10s"
15,"Two pair, Qs and 9s"
16,"Two pair, Qs and 10s"
17,"Two pair, Qs and Js"
18,"Two pair, Ks and 9s"
19,"Two pair, Ks and 10s"
20,"Two pair, Ks and Js"
21,"Two pair, Ks and Qs"
22,"Two pair, As and 9s"
23,"Two pair, As and 10s"
24,"Two pair, As and Js"
25,"Two pair, As and Qs"
26,"Two pair, As and Ks"
27,Small straight (9-K)
28,Big straight (10-A)
29,Great straight (9-A)
30,"Three of a kind, 9s"
31,"Three of a kind, 10s"
32,"Three of a kind, Js"
33,"Three of a kind, Qs"
34,"Three of a kind, Ks"
35,"Three of a kind, As"
36,"Full house, 9s over 10s"
37,"Full house, 9s over Js"
38,"Full house, 9s over Qs"
39,"Full house, 9s over Ks"
40,"Full house, 9s over As"
41,"Full house, 10s over 9s"
42,"Full house, 10s over Js"
43,"Full house, 10s over Qs"
44,"Full house, 10s over Ks"
45,"Full house, 10s over As"
46,"Full house, Js over 9s"
47,"Full house, Js over 10s"
48,"Full house, Js over Qs"
49,"Full house, Js over Ks"
50,"Full house, Js over As"
51,"Full house, Qs over 9s"
52,"Full house, Qs over 10s"
53,"Full house, Qs over Js"
54,"Full house, Qs over Ks"
55,"Full house, Qs over As"
56,"Full house, Ks over 9s"
57,"Full house, Ks over 10s"
58,"Full house, Ks over Js"
59,"Full house, Ks over Qs"
60,"Full house, Ks over As"
61,"Full house, As over 9s"
62,"Full house, As over 10s"
63,"Full house, As over Js"
64,"Full house, As over Qs"
65,"Full house, As over Ks"
66,Flush ♣
67,Flush ♦
68,Flush ♥
69,Flush ♠
70,"Four of a kind, 9s"
71,"Four of a kind, 10s"
72,"Four of a kind, Js"
73,"Four of a kind, Qs"
74,"Four of a kind, Ks"
75,"Four of a kind, As"
76,Small straight flush (9-K) ♣
77,Small straight flush (9-K) ♦
78,Small straight flush (9-K) ♥
79,Small straight flush (9-K) ♠
80,Big straight flush (10-A) ♣
81,Big straight flush (10-A) ♦
82,Big straight flush (10-A) ♥
83,Big straight flush (10-A) ♠
84,Great straight flush (9-A) ♣
85,Great straight flush (9-A) ♦
86,Great straight flush (9-A) ♥
87,Great straight flush (9-A) ♠
88,Check
89,(Lost the round)
